season,driverId,points,position,positionText,wins
2019,ricciardo,54.0,9,9,0
2019,perez,52.0,10,10,0
2019,norris,49.0,11,11,0
2019,raikkonen,43.0,12,12,0
2019,kvyat,37.0,13,13,0
2019,hulkenberg,37.0,14,14,0
2019,stroll,21.0,15,15,0
2019,kevin_magnussen,20.0,16,16,0
2019,giovinazzi,14.0,17,17,0
2019,grosjean,8.0,18,18,0
2019,kubica,1.0,19,19,0
2019,russell,0.0,20,20,0
2020,hamilton,347.0,1,1,11
2020,bottas,223.0,2,2,2
2020,max_verstappen,214.0,3,3,2
2020,perez,125.0,4,4,1
2020,ricciardo,119.0,5,5,0
2020,sainz,105.0,6,6,0
2020,albon,105.0,7,7,0
2020,leclerc,98.0,8,8,0
2020,norris,97.0,9,9,0
2020,gasly,75.0,10,10,1
2020,stroll,75.0,11,11,0
2020,ocon,62.0,12,12,0
2020,vettel,33.0,13,13,0
2020,kvyat,32.0,14,14,0
2020,hulkenberg,10.0,15,15,0
2020,raikkonen,4.0,16,16,0
2020,giovinazzi,4.0,17,17,0
2020,russell,3.0,18,18,0
2020,grosjean,2.0,19,19,0
2020,kevin_magnussen,1.0,20,20,0
2020,latifi,0.0,21,21,0
2020,aitken,0.0,22,22,0
2020,pietro_fittipaldi,0.0,23,23,0
2021,max_verstappen,395.5,1,1,10
2021,hamilton,387.5,2,2,8
2021,bottas,226.0,3,3,1
2021,perez,190.0,4,4,1
2021,sainz,164.5,5,5,0
2021,norris,160.0,6,6,0
2021,leclerc,159.0,7,7,0
2021,ricciardo,115.0,8,8,1
2021,gasly,110.0,9,9,0
2021,alonso,81.0,10,10,0
2021,ocon,74.0,11,11,1
2021,vettel,43.0,12,12,0
2021,stroll,34.0,13,13,0
2021,tsunoda,32.0,14,14,0
2021,russell,16.0,15,15,0
2021,raikkonen,10.0,16,16,0
2021,latifi,7.0,17,17,0
2021,giovinazzi,3.0,18,18,0
2021,mick_schumacher,0.0,19,19,0
2021,kubica,0.0,20,20,0
2021,mazepin,0.0,21,21,0
2022,max_verstappen,454.0,1,1,15
2022,leclerc,308.0,2,2,3
2022,perez,305.0,3,3,2
2022,russell,275.0,4,4,1
2022,sainz,246.0,5,5,1
2022,hamilton,240.0,6,6,0
2022,norris,122.0,7,7,0
2022,ocon,92.0,8,8,0
2022,alonso,81.0,9,9,0
2022,bottas,49.0,10,10,0
2022,ricciardo,37.0,11,11,0
2022,vettel,37.0,12,12,0
2022,kevin_magnussen,25.0,13,13,0
2022,gasly,23.0,14,14,0
2022,stroll,18.0,15,15,0
2022,mick_schumacher,12.0,16,16,0
2022,tsunoda,12.0,17,17,0
2022,zhou,6.0,18,18,0
2022,albon,4.0,19,19,0
2022,latifi,2.0,20,20,0
2022,de_vries,2.0,21,21,0
2022,hulkenberg,0.0,22,22,0
